item_id,source_label,target_label,question_category,question_category_name,proxy_success,clean_margin,adversarial_margin,margin_gain,caption_success,caption_eval_failed,caption_eval_error,clean_caption,adversarial_caption,vqa_success,vqa_eval_failed,vqa_eval_error,question,source_answer_text,target_answer_text,clean_answer,adversarial_answer,ocr_success,ocr_eval_failed,ocr_eval_error,clean_text,adversarial_text,gpt_success,gpt_eval_failed,gpt_eval_error,gpt_model_name,gpt_task_type,gpt_api_mode,gpt_prompt_mode,gpt_success_mode,gpt_prompt,gpt_clean_output,gpt_adversarial_output,gpt_clean_judge_label,gpt_adversarial_judge_label,gpt_clean_judge_pass,gpt_adversarial_judge_pass
item_00_conv,COCO_val2014_000000319432.jpg,COCO_val2014_000000353536.jpg,conv,Conversation,True,-0.5163234733045101,0.6306823454797268,1.147005818784237,,False,,,,,False,,What are the main objects on the table in the image?,A man holding up some clothes in some hanger bags.,"The main objects on the table in the image are plates, glasses, eating utensils, and possibly a bottle of something.",,,,False,,,,,False,,,,,,,,,,,,,
item_00_detail,COCO_val2014_000000319432.jpg,COCO_val2014_000000353536.jpg,detail,Detail,True,-0.519386351108551,0.6224517188966274,1.1418380700051785,,False,,,,,False,,Describe the following image.,A man holding up some clothes in some hanger bags.,"The image showcases a dining table filled with various dirty dishes, eating utensils, and a bottle. The table has plates and glasses scattered across it. There are at least two cups on the table, with one positioned on the left and another on the right side. Two forks can be seen, one resting on a small white plate and the other located towards the left side of the table. A spoon is also present, placed near the left corner of the table. Additionally, there is a bottle located in the upper central area of the table.",,,,False,,,,,False,,,,,,,,,,,,,
item_00_complex,COCO_val2014_000000319432.jpg,COCO_val2014_000000353536.jpg,complex,Reasoning,True,-0.5216488130390644,0.61517583578825,1.1368246488273144,,False,,,,,False,,What activity might have recently taken place around this table and what could be its aftermath?,A man holding up some clothes in some hanger bags.,"A meal or gathering might have recently taken place around this table, as evidenced by the variety of dirty dishes, utensils, and drinkware present on it. The aftermath of this meal or event could involve the need to clean up and wash the dirty dishes, glasses, and eating utensils. Items on the table include plates, forks, spoons, cups, and a bottle, which are typically used during such occasions. Participants might have engaged in conversation, shared food and beverages, and enjoyed each other's company at this table. Once the gathering is complete, disposing of any leftovers and cleaning the table area would be necessary to prepare it for the next use.",,,,False,,,,,False,,,,,,,,,,,,,
item_01_conv,COCO_val2014_000000151358.jpg,COCO_val2014_000000225738.jpg,conv,Conversation,True,-0.5504887774586678,0.4568236395716667,1.0073124170303345,,False,,,,,False,,How many giraffes are depicted in the image?,There are sunglasses laying on the folded newspaper.,There are four giraffes in the image.,,,,False,,,,,False,,,,,,,,,,,,,
item_01_detail,COCO_val2014_000000151358.jpg,COCO_val2014_000000225738.jpg,detail,Detail,True,-0.5518393740057945,0.46848712861537933,1.0203265026211739,,False,,,,,False,,Write a detailed description of the given image.,There are sunglasses laying on the folded newspaper.,"The image showcases a group of four giraffes standing in their natural habitat, a grassy field with some dry brush. They are dispersed across the field, with one giraffe positioned more towards the left, and the other three clustered closer together on the right side. The giraffes appear to be grazing peacefully or engaging in social interactions. A tree can be seen in the scene, providing shade and a point of interest for the giraffes to gather around.",,,,False,,,,,False,,,,,,,,,,,,,
item_01_complex,COCO_val2014_000000151358.jpg,COCO_val2014_000000225738.jpg,complex,Reasoning,True,-0.5480344034731388,0.4683689586818218,1.0164033621549606,,False,,,,,False,,Why might these giraffes be gathering near the same tree?,There are sunglasses laying on the folded newspaper.,"In the image, there are four giraffes gathered near the same tree in their natural habitat, a grass field with dry brush. Giraffes may gather near the same tree for various reasons. One common reason is to feed, as their long necks enable them to reach high branches for fresh leaves and foliage, which is a primary part of their diet. Giraffes are also social animals, so they may gather around the same tree to interact with each other and maintain their social bonds. Furthermore, the tree can provide shade in the hot African sun, offering a place for the giraffes to rest and regulate their body temperature.",,,,False,,,,,False,,,,,,,,,,,,,
item_02_conv,COCO_val2014_000000506483.jpg,COCO_val2014_000000203629.jpg,conv,Conversation,True,-0.5168992057442665,0.5810305960476398,1.0979298017919064,,False,,,,,False,,What is the man doing in the image?,artistic sculptures and images on a city street,"The man in the image is using his cell phone and giving a thumbs up, possibly posing for a picture.",,,,False,,,,,False,,,,,,,,,,,,,
item_02_detail,COCO_val2014_000000506483.jpg,COCO_val2014_000000203629.jpg,detail,Detail,True,-0.5336091183125973,0.5555103607475758,1.089119479060173,,False,,,,,False,,Can you describe the main features of this image for me?,artistic sculptures and images on a city street,"The image depicts a group of people gathered inside a room, creating a lively social atmosphere. A man is prominently featured in the scene, holding a cell phone to his ear and smiling with a thumbs-up gesture, possibly posing for a picture or simply enjoying the conversation. There are multiple other people in the room, adding to the gathering and engaging in various conversations. The scene also has two cups visible, one on the left side of the room and another on the right side, indicating that the gathering may be a casual social event.",,,,False,,,,,False,,,,,,,,,,,,,
item_02_complex,COCO_val2014_000000506483.jpg,COCO_val2014_000000203629.jpg,complex,Reasoning,True,-0.5282187834382057,0.5650969296693802,1.093315713107586,,False,,,,,False,,What might be the reason behind the man's thumbs-up gesture while on the phone?,artistic sculptures and images on a city street,"It is likely that the man is giving a thumbs-up gesture while talking on the phone to express a positive emotion or to signal agreement, approval, or satisfaction with the conversation he is having. This non-verbal communication can be conveyed to the people around him or to the person taking the picture of him while on the phone call. The man might be receiving good news, agreeing with the person on the phone, or sharing his excitement with the group of people surrounding him in the room. The specific reason cannot be precisely determined from the image alone, but it does indicate a positive sentiment associated with the phone call.",,,,False,,,,,False,,,,,,,,,,,,,
item_03_conv,COCO_val2014_000000525439.jpg,COCO_val2014_000000506483.jpg,conv,Conversation,True,-0.44726040959358215,0.5331003293395042,0.9803607389330864,,False,,,,,False,,What kind of objects are included in the art installation?,a person with an upside down skate board,"The art installation includes a display of large artworks, such as an oversized bench, painted feline heads, and potentially other artistic sculptures or images.",,,,False,,,,,False,,,,,,,,,,,,,
item_03_detail,COCO_val2014_000000525439.jpg,COCO_val2014_000000506483.jpg,detail,Detail,True,-0.4486537091434002,0.5492500066757202,0.9979037158191204,,False,,,,,False,,Explain the visual content of the image in great detail.,a person with an upside down skate board,"The image features an art installation placed on a city street. The display consists of a large, oversized wooden bench and two massive animal art sculptures, which appear to be painted feline heads. There are several people in the scene, with two people sitting near the art display, one person standing nearby, and another person further to the left. A parked car is visible behind the bench, close to the edge of the street. Additionally, a backpack can be seen on the ground, closer to the left side of the bench.",,,,False,,,,,False,,,,,,,,,,,,,
item_03_complex,COCO_val2014_000000525439.jpg,COCO_val2014_000000506483.jpg,complex,Reasoning,True,-0.44258179143071175,0.5358345322310925,0.9784163236618042,,False,,,,,False,,How might the art installation encourage interaction among people?,a person with an upside down skate board,"The art installation, featuring an oversized wooden bench and two massive animal art sculptures, encourages interaction among people by providing a visually intriguing and inviting space to sit or gather. People are naturally drawn to the unique and whimsical nature of these installations, sparking curiosity and conversation among those who encounter them. The oversized bench provides seating for multiple individuals, prompting people to sit down, rest, or socialize while admiring the giant painted feline heads and other artworks on display. Additionally, the installations capture the attention of passersby, creating a shared experience and a sense of community among those who visit the area. The artistic environment stimulates discussion and appreciation of the art, facilitating social interactions and connections among those who gather near the sculptures and oversized bench.",,,,False,,,,,False,,,,,,,,,,,,,
item_04_conv,COCO_val2014_000000018476.jpg,COCO_val2014_000000441147.jpg,conv,Conversation,True,-0.34911803156137466,0.5012757331132889,0.8503937646746635,,False,,,,,False,,What is the color of the two suitcases in the image?,a white shirt a red tie and some black shoes,The colors of the two suitcases in the image are black and brown with yellow details.,,,,False,,,,,False,,,,,,,,,,,,,
item_04_detail,COCO_val2014_000000018476.jpg,COCO_val2014_000000441147.jpg,detail,Detail,True,-0.3500342629849911,0.512089341878891,0.8621236048638821,,False,,,,,False,,Analyze the image in a comprehensive and detailed manner.,a white shirt a red tie and some black shoes,"The image features two antique suitcases made of leather, stacked one on top of the other. The top suitcase is black, while the bottom one has a combination of brown and yellow colors. Both suitcases are prominently displayed side by side, taking up a large portion of the image. They appear to be vintage luggage, possibly available for purchase with price tags attached, showcasing their classic design and craftsmanship.",,,,False,,,,,False,,,,,,,,,,,,,
item_04_complex,COCO_val2014_000000018476.jpg,COCO_val2014_000000441147.jpg,complex,Reasoning,True,-0.3481939770281315,0.49252065271139145,0.8407146297395229,,False,,,,,False,,What potential factors could make these suitcases valuable?,a white shirt a red tie and some black shoes,"Several factors could make the two stacked suitcases valuable. In the image, they are described as antique, which suggests that they are potentially rare or have some historical significance. Their age and rarity could contribute to their value. Additionally, they are made of leather, which is a material known for its durability and, in some cases, luxury. The suitcases also differ in color, featuring black, brown, and yellow tones, which may attract buyers due to their aesthetic appeal or the desire to own a unique piece of luggage. Furthermore, the presence of price tags on the luggage indicates that they are being sold, drawing attention to their perceived value in the market. Collectors or enthusiasts of vintage items may find these suitcases valuable due to their material, design, age, and distinct appearance.",,,,False,,,,,False,,,,,,,,,,,,,
