item_id,source_label,target_label,question_category,question_category_name,question_type,bbox_label,proxy_success,clean_margin,adversarial_margin,margin_gain,caption_success,caption_eval_failed,caption_eval_error,clean_caption,adversarial_caption,vqa_success,vqa_eval_failed,vqa_eval_error,question,source_answer_text,target_answer_text,clean_answer,adversarial_answer,ocr_success,ocr_eval_failed,ocr_eval_error,clean_text,adversarial_text,gpt_success,gpt_eval_failed,gpt_eval_error,gpt_model_name,gpt_task_type,gpt_api_mode,gpt_prompt_mode,gpt_success_mode,gpt_prompt,gpt_clean_output,gpt_adversarial_output,gpt_clean_judge_label,gpt_adversarial_judge_label,gpt_clean_judge_pass,gpt_adversarial_judge_pass
item_00_00_store,WALMART,SPAR,,,store,store,True,-0.12605012953281403,0.30415334552526474,0.43020347505807877,,False,,,,,False,,What store is this receipt from? Answer with only the store name.,WALMART,SPAR,,,,False,,,,,False,,,,,,,,,,,,,
item_00_01_total,TOTAL 5.11,8.28,,,total,total,True,-0.0003507360816001892,0.07985241711139679,0.08020315319299698,,False,,,,,False,,What is the total amount on the receipt? Answer with only the amount.,TOTAL 5.11,8.28,,,,False,,,,,False,,,,,,,,,,,,,
item_01_00_store,TRADER JOE'S,Walmart,,,store,store,True,-0.1169341579079628,0.281623600050807,0.3985577579587698,,False,,,,,False,,What store is this receipt from? Answer with only the store name.,TRADER JOE'S,Walmart,,,,False,,,,,False,,,,,,,,,,,,,
item_01_01_total,TOTAL $38.68,$44.10,,,total,total,True,-0.0008098632097244263,0.08830561675131321,0.08911547996103764,,False,,,,,False,,What is the total amount on the receipt? Answer with only the amount.,TOTAL $38.68,$44.10,,,,False,,,,,False,,,,,,,,,,,,,
item_02_00_store,SPAR,Walmart,,,store,store,True,-0.09635842591524124,0.25234512612223625,0.3487035520374775,,False,,,,,False,,What store is this receipt from? Answer with only the store name.,SPAR,Walmart,,,,False,,,,,False,,,,,,,,,,,,,
item_02_01_total,TOTAL FOR 14 ITEMS 338.16,19.42,,,total,total,True,-0.000728122889995575,0.058202460408210754,0.05893058329820633,,False,,,,,False,,What is the total amount on the receipt? Answer with only the amount.,TOTAL FOR 14 ITEMS 338.16,19.42,,,,False,,,,,False,,,,,,,,,,,,,
item_03_00_store,WHOLE FOODS MARKET,WALMART,,,store,store,True,-0.09982739388942719,0.27846795693039894,0.3782953508198261,,False,,,,,False,,What store is this receipt from? Answer with only the store name.,WHOLE FOODS MARKET,WALMART,,,,False,,,,,False,,,,,,,,,,,,,
item_03_01_item,*WT PLUMS BLACK CV 2.15 B,WINCO SNDWCH WT 7055200115 .91 FS,,,item,item,True,-0.01575508713722229,0.16524263471364975,0.18099772185087204,,False,,,,,False,,Name one item listed on the receipt. Answer with only the item name.,*WT PLUMS BLACK CV 2.15 B,WINCO SNDWCH WT 7055200115 .91 FS,,,,False,,,,,False,,,,,,,,,,,,,
item_04_00_store,WALMART,SPAR,,,store,store,True,-0.1518670693039894,0.33037538826465607,0.4822424575686455,,False,,,,,False,,What store is this receipt from? Answer with only the store name.,WALMART,SPAR,,,,False,,,,,False,,,,,,,,,,,,,
item_04_01_total,TOTAL 18.75,33.48,,,total,total,True,-0.004509277641773224,0.08026187680661678,0.08477115444839001,,False,,,,,False,,What is the total amount on the receipt? Answer with only the amount.,TOTAL 18.75,33.48,,,,False,,,,,False,,,,,,,,,,,,,
